date,temperature,humidity,luminosity
2020-12-03 16:18:05.028,19.3,19.4,45
2020-12-03 16:18:02.754,19.3,19.4,45
2020-12-03 16:18:00.476,19.3,19.4,45
2020-12-03 16:17:58.199,19.3,19.4,44
2020-12-03 16:17:55.926,19.3,19.4,45
2020-12-03 16:17:53.648,19.3,19.4,48
2020-12-03 16:17:51.375,19.3,19.4,48
2020-12-03 16:17:49.098,19.3,19.4,48
2020-12-03 16:17:46.821,19.3,19.4,49
2020-12-03 16:17:44.548,19.3,19.4,49
2020-12-03 16:17:42.270,19.3,19.4,48
2020-12-03 16:17:39.997,19.3,19.4,48
2020-12-03 16:17:37.720,19.3,19.4,48
2020-12-03 16:17:35.442,19.3,19.4,48
2020-12-03 16:17:33.169,19.3,19.4,48
2020-12-03 16:17:30.892,19.3,19.3,48
2020-12-03 16:17:28.618,19.3,19.3,48
2020-12-03 16:17:26.341,19.3,19.2,47
2020-12-03 16:17:24.068,19.3,19.2,47
2020-12-03 16:17:21.791,19.3,19.2,48
2020-12-03 16:17:19.513,19.3,19.2,46
2020-12-03 16:17:17.240,19.3,19.2,48
2020-12-03 16:17:14.963,19.3,19.2,49
2020-12-03 16:17:12.690,19.3,19.2,48
2020-12-03 16:17:10.412,19.3,19.2,46
2020-12-03 16:17:08.139,19.3,19.2,47
2020-12-03 16:17:05.862,19.3,19.2,44
2020-12-03 16:17:03.584,19.3,19.2,37
2020-12-03 16:17:01.311,19.3,19.2,38
2020-12-03 16:16:59.034,19.3,19.2,36
2020-12-03 16:16:56.761,19.3,19.2,44
2020-12-03 16:16:54.484,19.3,19.2,46
2020-12-03 16:16:52.210,19.3,19.2,45
2020-12-03 16:16:49.933,19.3,19.2,49
2020-12-03 16:16:47.656,19.3,19.3,49
2020-12-03 16:16:45.382,19.3,19.3,49
2020-12-03 16:16:43.105,19.3,19.3,49
2020-12-03 16:16:40.832,19.3,19.4,49
2020-12-03 16:16:38.555,19.3,19.4,49
2020-12-03 16:16:36.277,19.3,19.4,49
2020-12-03 16:16:34.004,19.3,19.4,49
2020-12-03 16:16:31.727,19.2,19.4,49
2020-12-03 16:16:29.454,19.2,19.3,49
2020-12-03 16:16:27.176,19.2,19.3,48
2020-12-03 16:16:24.903,19.2,19.3,48
2020-12-03 16:16:22.626,19.2,19.3,49
2020-12-03 16:16:20.348,19.2,19.3,49
2020-12-03 16:16:18.075,19.2,19.3,49
2020-12-03 16:16:15.798,19.2,19.3,49
2020-12-03 16:16:13.525,19.2,19.3,49
